Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2015_exists,2016_exists,2017_exists,2018_exists,2019_exists,2020_exists,2021_exists,2022_exists,2023_exists,2024_exists,2025_exists,Number of changes,Frequent changer
Sienna Square Homeowners Association,,,,,,,,apogee management,apogee management,apogee management,apogee management,,,,,,,,1.0,1.0,1.0,1.0,1,False
Sierra Bouquet Owners Association,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Sierra Canyon Association,associa,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,grandmanor,grandmanor,grandmanor,equu management group,equu management group,equu management group,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,True
Sierra Cliffs Homeowners Association,,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Sierra Colina Homeowners' Association,,,,,tahoenov venture,incline property management,incline property management,incline property management,incline property management,incline property management,associa,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Sierra Country Estates Homeowners Association,new valley real estate management,new valley real estate management,new valley real estate management,new valley real estate management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Sierra Crossings At Shadow Hills Owners' Association,camco,camco,camco,camco,camco,camco,camco,terra west management service,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Sierra Desert View Estates Homeowners Association, Inc",,,,,,,sierra desert view estate homeowner,infinity association management,the management trust,the management trust,the management trust,,,,,,,1.0,1.0,1.0,1.0,1.0,3,True
Sierra Falls Homeowners Association,,,,,,,,,seabreeze management,seabreeze management,seabreeze management,,,,,,,,,1.0,1.0,1.0,1,False
Sierra Gardens Homeowners Association,incline property management,incline property management,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
"Sierra Grande Landscape Maintenance Association, Inc.",,associa,associa,associa,associa,camco,camco,camco,nevada community management,associa,associa,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
"Sierra Hills Landscape Maintenance Association, The",firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2,True
Sierra Homeowners Association,,,,,,,,triton hoa service,triton hoa service,triton hoa service,triton hoa service,,,,,,,,1.0,1.0,1.0,1.0,1,False
Sierra Loma Association Inc,terra west management service,terra west management service,terra west management service,terra west management service,camco,camco,camco,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2,True
"Sierra Loma Association, Inc",,,,,,,,camco,associa,associa,associa,,,,,,,,1.0,1.0,1.0,1.0,2,True
Sierra Madre At Mountains Edge Homeowners Association,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Sierra Madre Homeowners Association,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,epic association management,epic association management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Sierra Ranch Homeowners Association,real manage,real manage,real manage,thoroughbred management,thoroughbred management,thoroughbred management,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3,True
Sierra Ranchos Property Owners Association,,,,,,opu 1 community management,terra west management service,,equu management group,equu management group,equu management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Sierra Ridge @ Summerlin North,summerlin community management,summerlin community management,,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Sierra Ridge At Mesquite Estate Homeowners' Association,colonial property management,colonial property management,,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Sierra Shadows Landscape Maintenance Association,,,,,,ryder nv management,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Sierra Valley Association,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Sierra View Estates Unit One Homeowners Association,reno property management,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Sierra Vista Ranchos Homeowners' Association,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,epic association management,epic association management,the management trust,the property group,the property group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
"Sierra Vista Towers Homeowners' Association, Inc.",firstservice residential nevada,firstservice residential nevada,reno property management,reno property management,reno property management,reno property management,reno property management,reno property management,reno property management,reno property management,reno property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Sierra Vista Villas Unit #2 Homeowners Association,kenyon associate,kenyon associate,kenyon associate,kenyon associate,kenyon associate,kenyon associate,kenyon associate,kenyon associate,kenyon associate,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Silhouette Homeowners' Association,camco,camco,camco,camco,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Silver Creek At Deersprings Homeowners Association,las vega valley community management,las vega valley community management,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Silver Creek Homeowners Association,camco,camco,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,on the ball,on the ball,on the ball,on the ball,on the ball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Silver Crossing Homeowners Association,hoa management,hoa management,kallfelz team association management,kallfelz team association management,kallfelz team association management,hoa management,camco,kallfelz team dba hoa management,kallfelz team dba hoa management,sierra community management,prime community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,True
Silver Dollar Estates Ii Homeowners Association,,,,,,,camco north division,camco,nevada community management,nevada community management,nevada community management,,,,,,,1.0,1.0,1.0,1.0,1.0,3,True
Silver Dollar Estates Iii Homeowners Association,,,,,,,the management trust,the management trust,the management trust,the management trust,the management trust,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Silver Dollar Estates Iv Homeowners Association,,,,,,,,,the management trust,the management trust,the management trust,,,,,,,,,1.0,1.0,1.0,1,False
Silver Estates Homeowners Association,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Silver Hills @ Mountain'S Edge,mountain edge master association,mountain edge master association,,capital consultant management,capital consultant management,capital consultant management,capital consultant management,capital consultant management,capital consultant management,capital consultant management,capital consultant management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Silver Oak Community Association,community association management,community association management,community association management,community association management,community association management,camco,community association management,camco,camco,camco,anchor management and consulting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Silver Oak Estates Homeowners Association,community management sale,community management sale,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Silver Oak/Silver Pointes Landscape Maintenance Association,camco,camco,camco,camco,camco,camco,camco,camco,camco,camco,camco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Silver Pines Homeowners Association,prime community management,prime community management,,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Silver Pointe I Landscape Maintenance Association,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Silver Ridge At Eagle Canyon Homeowners' Association,firstservice residential nevada,firstservice residential nevada,associa,associa,associa,associa,,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3,True
Silver Ridge Ii At Eagle Canyon Homeowners' Association,,,,associa,associa,associa,,associa,associa,associa,associa,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3,True
Silver Shadow Homeowners Association,,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Silver Spur Owners Association,camco,camco,camco,camco,level property management,level property management,level property management,prime community management,prime community management,prime community management,prime community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Silver Terrace Ii Landscape Maintenance Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Silver Turtle Homeowners Association,las vega valley community management,las vega valley community management,las vega valley community management,las vega valley community management,las vega valley community management,nevada community management,nevada community management,shelter management group,shelter management group,smg,smg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Silver View Town Home Owner'S Association,,,,,,,,camco,camco,camco,anchor management and consulting,,,,,,,,1.0,1.0,1.0,1.0,2,True
Silverado 129 Homeowners Association,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Silverado 161 Homeowners Association,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Silverado Canyon Community Association,,,,,,,,seabreeze management,seabreeze management,seabreeze management,seabreeze management,,,,,,,,1.0,1.0,1.0,1.0,1,False
Silverado Canyons Landscape Maintenance Association,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,level property management,level property management,level property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Silverado Court Homeowners Association,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Silverado Court Landscape Maintenance Corporation,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Silverado Courtyards Association,firstservice residential nevada,colonial property management,colonial property management,desert living,desert living,desert living,desert living,desert living,desert living,desert living,desert living,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Silverado Crossing Landscape Maintenance Association,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,,cornerstone community association management,level property management,level property management,level property management,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3,True
Silverado Hills Ii Landscape Maintenance Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,desert living,desert living,desert living,desert living,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Silverado Hills Landscape Maintenance Association,firstservice residential nevada,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,level property management,level property management,level property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Silverado Lane East Homeowners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
"Silverado Pines Landscape Maintenance Association, Inc.",nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Silverado Place Homeowners Association,camco,camco,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,prime community management,prime community management,prime community management,prime community management,prime community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Silverado Pointe/Ridge Homeowners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,desert living,desert living,desert living,desert living,desert living,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Silverado Ranch Court Homeowners Association,the management trust,the management trust,,,,,,,,,,1.0,1.0,,,,,,,,,,1,False
Silverado Ranch Ii Landscape Maintenance Corporation,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,level property management,level property management,prime community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Silverado Ranch Iii Landscape Maintenance Corporation,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,level property management,level property management,level property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Silverado Ranch Landscape Maintenance Corporation,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Silverado South Homeowners Association,firstservice residential nevada,firstservice residential nevada,real propertie management group,real property management group,real property management group,real property management group,real property management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Silverado Trails Landscape Maintenance Association,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,cornerstone community association management,level property management,level property management,desert living,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Silverado Valley Homeowners Association,,,,,,,the management trust,the management trust,the management trust,the management trust,the management trust,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Silverleaf Community Association,,,,,,,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Silverleaf Homeowners' Association,camco,camco,camco,ideal community management,ideal community management,associa,associa,associa,associa,camco,camco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Silverlyn Heights Community Association,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Silverstone Ranch Community Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,camco,camco,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3,True
"Silverwood Ranch Homeowners Association, Inc",associa,associa,associa,associa,associa,associa,,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2,True
Ski Way Ridge Homeowners Association,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,reno property management,reno property management,reno property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Sky Las Vegas Master Association,pinnacle community association management,pinnacle community association management,pinnacle community association management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,,seabreeze management,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,4,True
Sky Pointe Homeowners' Association,camco,camco,camco,camco,camco,camco,camco,camco,camco,camco,camco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Sky Ranch Community Association,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,westward360,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
"Sky Ranch North Homeowners Association, Inc.",equu management group,equu management group,equu management group,eugene burger management,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Sky Ridge Unit 2 Landscape Maintenance Association,,,,,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,equu management group,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Sky Ridge, Unit 2 Landscape Maintenance Association",,,silverado sky ridge,incline property management,,,,,,,,,,1.0,1.0,,,,,,,,3,True
Sky Vista Homeowners Association,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Skye Canyon Community Association,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Skye Hills Community Association,,,,,,,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Skye Knoll At Summerlin Homeowners Association,,,,,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Skyhawk Townhomes Homeowners Association Inc.,colonial property management,colonial property management,colonial property management,colonial property management,terra west management service,terra west management service,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Skyline Estates Community Association,,,camco,camco,camco,camco,camco,camco,camco,camco,camco,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Skyline Homeowners Association,,,,,,,,apogee management,apogee management,apogee management,camco,,,,,,,,1.0,1.0,1.0,1.0,2,True
Skyline Point Homeowners Association,,,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Skyline Ranch Association,valley realty and management,valley realty and management,valley realty and management,camco,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Skyline Ridge Community Association,,,,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,,,,,,,,,1.0,1.0,1.0,1,False
Skyline Ridge Homeowners Association,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Skyline Trail Homeowners Association,,,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Skyline View Homeowners Association,infinity association management,infinity association management,infinity association management,infinity association management,infinity association management,infinity association management,infinity association management,infinity association management,the management trust,the management trust,the management trust,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Skyline Villas Association Inc.,eugene burger management,eugene burger management,eugene burger management,equu management group,equu management group,equu management group,equu management group,equu management group,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Skyline Vista Association, Inc.",equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Skyline Vista Homeowners Association,,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Skypointe Unit Owners' Association,terra west management service,level property management,level property management,level property management,level property management,level property management,level property management,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,the association management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Skyridge Homeowners Association,las vega valley community management,las vega valley community management,kallfelz team association management,kallfelz team association management,kallfelz team association management,hoa management,epic association management,epic association management,epic association management,epic association management,epic association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Skystone Community Association,,,,camco,camco,camco,camco,camco,camco,epic association management,epic association management,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Skyview Terrace Homeowners Association,,,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Smith Villas Homeowners Association,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Smithridge Greens Unit # 1 Homeowners Association,reno property management,reno property management,reno property management,reno property management,reno property management,reno property management,reno property management,reno property management,reno property management,reno property management,reno property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Smithridge Greens Unit #2 Homeowners Association,equu management group,equu management group,opu 1 community management,opu 1 community management,terra west management service,terra west management service,reno property management,reno property management,reno property management,reno property management,reno property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Smithridge Park Townhouse Association Inc,firstservice residential nevada,firstservice residential nevada,associa,associa,equu management group,equu management group,equu management group,equu management group,equu management group,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Smoke Ranch Maintenance District,first columbia community management,first columbia community management,level property management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Smoke Ranch Pines Association,covenant management,pwjame management consulting,kallfelz team association management,kallfelz team association management,hoa management,hoa management,hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Smoke Ranch Villas Homeowners Association,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,sierra community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
"Snowdown Homeowners Association, Corporation",select property management,new valley real estate management,,new valley real estate management,eugene burger management,camco,camco,camco,camco,anchor management and consulting,anchor management and consulting,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,True
Soho Lofts Homeowners' Association,the prescott companie,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Solamar Cove Homeowners Association,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Solana Del Mar Community Association,desert community management,desert community management,,desert community management,desert community management,desert community management,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,3,True
Solana Homeowners Association,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2,True
Solana Terrace Homeowners Association,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
"Solana Unit-Owners' Association, Inc",the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Solandra Homeowners Association,,,thoroughbred management,thoroughbred management,elite hoa management,elite hoa management,elite hoa management,elite hoa management,elite hoa management,elite hoa management,elite hoa management,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Solano Homeowners Association,terra west management service,terra west management service,,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
